,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
106,Der kleine Drache Kokosnuss - Auf in den Dschungel!-2018-12-28,2018-12-28,"1866262,00","1866262,00",
107,jeombaki hanbandoeui gongryong 2 saeroun nakwon-2018-12-28,2018-12-28,"3783492,00","3783492,00",
108,Chef-2018-12-28,2018-12-28,"94,00","94,00",
109,Benji-2018-12-28,2018-12-28,"585333,00","585333,00",
110,T-34-2018-12-27,2018-12-27,"39526616,00","39526616,00",
111,BÃƒÂ¶rÃƒÂ¼-2018-12-28,2018-12-28,"1441948,00","1441948,00",
112,Der Junge muss an die frische Luft-2018-12-27,2018-12-27,"31920181,00","31920181,00",
113,Yolki Posledniye-2018-12-27,2018-12-27,"11499494,00","11499494,00",
114,Cuando Brillan las Estrellas-2018-12-28,2018-12-28,"2506,00","2506,00",
115,Au bout des doigts-2018-12-27,2018-12-27,"3712903,00","3712903,00",
116,Un violent dÃƒÂ©sir de bonheur-2018-12-26,2018-12-26,,,
117,La befana vien di notte-2018-12-27,2018-12-27,"9166973,00","9166973,00",
118,PMC: deo beong-keo-2018-01-04,2018-01-04,"12478635,00","12478635,00",
119,Moschettieri del Re - La penultima missione-2018-12-27,2018-12-27,"5728962,00","5728962,00",
120,Mult v. Kino Vypusk No. 87-2018-12-22,2018-12-22,"100689,00","100689,00",
121,L'homme fidÃƒÂ¨le-2018-07-19,2018-07-19,"1939709,00","1861933,00","77776,00"
122,Perfectos desconocidos-2018-01-11,2018-01-11,"7895346,00","6880839,00","1014507,00"
123,Zerk-2018-12-21,2018-12-21,"8785,00","8785,00",
124,Destroyer-2018-12-25,2018-12-25,"5865489,00","4332165,00","1533324,00"
125,Zero-2018-12-21,2018-12-21,"1995127,00","1995127,00",
126,YanÃ„Â±mda Kal-2018-12-21,2018-12-21,"69938,00","69938,00",
127,Ye Wen hui chuan: Zhang Tianzhi-2018-04-12,2018-04-12,"19781947,00","19572493,00","209454,00"
128,Mia et le lion blanc-2018-04-12,2018-04-12,"34299855,00","33899357,00","400498,00"
129,Wu Lin Guai Shou-2018-12-21,2018-12-21,"11573104,00","11573104,00",
130,Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu FoebÃƒÂ¢-2018-12-22,2018-12-22,"12465928,00","12465928,00",
131,Welcome to Marwen-2018-12-21,2018-12-21,"13086137,00","2322617,00","10763520,00"
132,Vergara-2018-12-21,2018-12-21,"3695,00","3695,00",
133,Vice-2018-12-25,2018-12-25,"70893782,00","23057500,00","47836282,00"
134,Tian Qi Yu Bao-2018-12-21,2018-12-21,"18485628,00","18382575,00","103053,00"
135,The Soul of Shui People in 1944-2018-12-21,2018-12-21,"599574,00","599574,00",
136,Snezhnaya koroleva. Zazerkale-2018-12-21,2018-12-21,"9456027,00","9456027,00",
137,Unknown Distance-2018-12-21,2018-12-21,,,
138,Silukkuvarpatti Singam-2018-12-21,2018-12-21,"405,00","405,00",
139,The Revenge of Phantom Knight-2018-12-21,2018-12-21,"23369,00","23369,00",
140,Padi Padi Leche Manasu-2018-12-21,2018-12-21,"20916,00","20916,00",
141,SÃƒÂ¼kut Evi-2018-12-21,2018-12-21,"262,00","262,00",
142,Porno para principiantes-2018-12-21,2018-12-21,"9848,00","9848,00",
143,Patrolman Baoyin-2018-12-21,2018-12-21,"100000,00","100000,00",
144,The Last Resort-2018-12-21,2018-12-21,,,"158646,00"
145,National Theatre Live: Antony & Cleopatra-2018-12-21,2018-12-21,"891885,00","891885,00",
146,Maari 2-2018-12-21,2018-12-21,"68392,00","68392,00",
147,Kanaa-2018-12-21,2018-12-21,"2999,00","2999,00",
148,Hugo Paco Luis y tres chicas de rosa-2018-12-21,2018-12-21,"100,00","100,00",
149,Kurtlar ve Ãƒâ€¡akallar-2018-12-21,2018-12-21,"11593,00","11593,00",
150,Fabeltjeskrant: De Grote Dierenbos-Spelen.-2018-12-21,2018-12-21,"728944,00","728944,00",
151,The Connection-2018-12-21,2018-12-21,"3739582,00","3739582,00",
152,Delaware Shore-2018-12-21,2018-12-21,,,
153,Dantza-2018-12-21,2018-12-21,"262301,00","262301,00",
154,D.P.A. Detetives Do PrÃƒÂ©dio Azul 2 - O Filme-2018-12-21,2018-12-21,"4432618,00","4432618,00",
155,Between Worlds-2018-12-21,2018-12-21,,,
156,Antariksham 9000 kmph-2018-12-21,2018-12-21,"39040,00","39040,00",
157,Blue Amber-2018-12-21,2018-12-21,"25049,00","25049,00",
158,AÃƒÂ¯lo: Une odyssÃƒÂ©e en Laponie-2018-12-21,2018-12-21,"1991200,00","1991200,00",
159,Adanga Maru-2018-12-21,2018-12-21,"30612,00","30612,00",
160,Tri bogatyrya i Naslednitsa prestola-2018-12-20,2018-12-20,"9343851,00","9343851,00",
161,Bolshoi Ballet: The Nutcracker-2018-12-21,2018-12-21,"354373,00","354373,00",
162,Holmes & Watson-2018-12-25,2018-12-25,"41926605,00","11357862,00","30568743,00"
163,Zanjas-2017-12-29,2017-12-29,"570,00","570,00",
164,ItÃ¢â‚¬â„¢s March 3Rd Again-2018-12-20,2018-12-20,"1160000,00","1160000,00",
165,The Wedding Party 2: Destination Dubai-2017-02-14,2017-02-14,"73115,00","61975,00","11140,00"
166,Sin Filtro-2017-12-29,2017-12-29,"174,00","174,00",
167,Yao Ling Ling-2017-01-05,2017-01-05,"57628372,00","57442237,00","186135,00"
168,Politseyskiy s Rublyovki. Novogodniy bespredel-2018-12-20,2018-12-20,"27061365,00","27061365,00",
169,ParayÃ„Â± Bulduk-2017-12-29,2017-12-29,"16590,00","16590,00",
170,Napoli Velata-2017-12-29,2017-12-29,"7197082,00","7197082,00",
171,KlasÃ„â€”s susitikimas: berniukai sugrÃ„Â¯Ã…Â¾ta!-2017-12-29,2017-12-29,"1636978,00","1636978,00",
172,Kalavaadiya Pozhuthugal-2017-12-29,2017-12-29,"5317,00","5317,00",
173,Momo-2017-12-29,2017-12-29,"5181844,00","5181844,00",
174,Gulu Mermaid 2-2017-12-29,2017-12-29,"1653264,00","1653264,00",
175,Gandarrappido!: The Revenger Squad-2017-12-29,2017-12-29,"21271,00","21271,00",
176,"Fala SÃƒÂ©rio, MÃƒÂ£e!-2017-12-29",2017-12-29,"11616161,00","11616161,00",
177,L'ÃƒÂ©change des princesses-2017-12-29,2017-12-29,"3078723,00","3078723,00",
178,Okka Kshanam-2017-12-29,2017-12-29,"1516,00","1516,00",
179,Forget About Nick-2017-12-29,2017-12-29,"41963,00","41963,00",
180,Come Un Gatto in Tangenziale-2017-12-29,2017-12-29,"11282642,00","11282642,00",
181,Seuwingkizeu-2018-12-21,2018-12-21,"10903259,00","10681258,00","222001,00"
182,Capri-Revolution-2018-12-20,2018-12-20,"828363,00","828363,00",
183,Maya-2018-12-19,2018-12-19,"130997,00","130997,00",
184,Mayakwang-2018-12-19,2018-12-19,"14446477,00","14446477,00",
185,Nachtwacht: De Poort der Zielen-2018-12-19,2018-12-19,"198335,00","198335,00",
186,L'Empereur de Paris-2018-12-19,2018-12-19,"8628811,00","8628811,00",
187,Le gendre de ma vie-2018-12-19,2018-12-19,"3623355,00","3623355,00",
188,Amici come Prima-2018-12-19,2018-12-19,"9367230,00","9367230,00",
189,Zhong Guo He Huo Ren 2-2018-12-18,2018-12-18,"3004460,00","3004460,00",
190,Mary Poppins Returns-2018-12-19,2018-12-19,"348901032,00","176942594,00","171958438,00"
191,A Christmas Carol-2018-12-16,2018-12-16,,,
192,The Wedding-2018-12-14,2018-12-14,"2513,00","2513,00",
193,Yo-kai Watch Movie 5: Forever Friends-2018-12-14,2018-12-14,"10441722,00","10441722,00",
194,Volver a Boedo-2018-12-14,2018-12-14,"16032,00","16032,00",
195,Yuli-2018-12-14,2018-12-14,"4326104,00","4326104,00",
196,Turtle Odyssey 3d-2018-12-14,2018-12-14,"141256,00","141256,00",
197,Three Words to Forever-2018-12-14,2018-12-14,"17076,00","17076,00",
198,Trote-2018-12-14,2018-12-14,"6538,00","6538,00",
199,That Way Madness Lies-2018-12-14,2018-12-14,,,"1447,00"
200,La vida que te agenciaste-2018-12-14,2018-12-14,"63,00","63,00",
201,There Will Be Ample Time-2018-12-14,2018-12-14,"9135,00","9135,00",
