,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
19153,Anthony Kaun Hai-2006-01.01,2006-01.01,,,"55418,00"
19154,Quinceanera-2006-01.01,2006-01.01,"2797199,00","1104506,00","1692693,00"
19155,Scoop-2006-07-28,2006-07-28,"40103262,00","29577545,00","10525717,00"
19156,Barnyard: The Original Party Animals-2006-01.01,2006-01.01,"118583844,00","45804844,00","72779000,00"
19157,Omkara-2006-07-28,2006-07-28,"2599402,00","1354826,00","1244576,00"
19158,John Tucker Must Die-2006-07-28,2006-07-28,"68824526,00","27812815,00","41011711,00"
19159,Miami Vice-2006-07-28,2006-07-28,"164920076,00","101441238,00","63478838,00"
19160,I Like Killling Flies-2006-07-28,2006-07-28,,,"16214,00"
19161,"The Photographer, His Wife, Her Lover-2006-07-28",2006-07-28,,,"10330,00"
19162,All the Queen's Men-2002-10-25,2002-10-25,,,"22723,00"
19163,Brothers of the Head-2006-07-28,2006-07-28,,,"45082,00"
19164,"Darshan, The Embrace-2006-07-28",2006-07-28,,,"66032,00"
19165,Gedo Senki-2006-01.01,2006-01.01,"68048658,00","68000000,00","48658,00"
19166,The Ant Bully-2006-07-28,2006-07-28,"49610898,00","21468363,00","28142535,00"
19167,13 Tzameti-2006-07-28,2006-07-28,,,"121390,00"
19168,America: Freedom to Fascism-2006-07-28,2006-07-28,,,"87400,00"
19169,Another Gay Movie-2006-07-28,2006-07-28,,,"654132,00"
19170,Little Miss Sunshine-2006-07-26,2006-07-26,"100642353,00","40751255,00","59891098,00"
19171,My Super Ex-Girlfriend-2006-07-21,2006-07-21,"60772856,00","38242561,00","22530295,00"
19172,Monster House-2006-07-21,2006-07-21,"141267370,00","67606360,00","73661010,00"
19173,Clerks II-2006-07-21,2006-07-21,"27342246,00","3194178,00","24148068,00"
19174,Lady in the Water-2006-07-21,2006-07-21,"72785169,00","30500000,00","42285169,00"
19175,Shadowboxer-2006-07-21,2006-07-21,"442951,00","72324,00","370627,00"
19176,The Case of the Grinning Cat-2006-07-21,2006-07-21,,,"7033,00"
19177,Boy's Briefs 4-2006-07-21,2006-07-21,,,"27449,00"
19178,Underworld: Awakening-2012-01-20,2012-01-20,"160379930,00","98058891,00","62321039,00"
19179,Ultrasuede: In Search of Halston-2012-01-20,2012-01-20,,,"10357,00"
19180,Miss Bala-2012-01-20,2012-01-20,"427815,00","387275,00","40540,00"
19181,Jin lÃƒÂ­ng shÃƒÂ­ san chai-2012-12-21,2012-12-21,"98227017,00","97915583,00","311434,00"
19182,Haywire-2012-01-20,2012-01-20,"36374700,00","17432304,00","18942396,00"
19183,Hagane no renkinjutsushi: Mirosu no seinaru hoshi-2012-01-20,2012-01-20,"3934008,00","3756008,00","178000,00"
19184,Red Tails-2012-01-20,2012-01-20,"50365498,00","489121,00","49876377,00"
19185,The Pruitt-Igoe Myth-2012-01-20,2012-01-20,,,"44883,00"
19186,The World According to Shorts-2006-07-21,2006-07-21,,,"11978,00"
19187,Coriolanus-2012-12-02,2012-12-02,"2536707,00","1787066,00","749641,00"
19188,Carol Channing: Larger Than Life-2012-01-20,2012-01-20,,,"20370,00"
19189,Go-ji-jeon-2012-01-20,2012-01-20,"19603449,00","19603449,00",
19190,Crazy Horse-2012-01-18,2012-01-18,"230180,00","75489,00","154691,00"
19191,Bu-reo-jin hwa-sal-2012-01-19,2012-01-19,"22852811,00","22852811,00",
19192,In Search of Haydn-2012-01-19,2012-01-19,"10877,00","10877,00",
19193,Benvenuti al nord-2012-01-18,2012-01-18,"31546647,00","31546647,00",
19194,Safe Haven Live Cinema Fan Event-2012-01-17,2012-01-17,,,
19195,Vettai-2012-01-13,2012-01-13,"4366276,00","4163695,00","202581,00"
19196,We Need to Talk About Kevin-2012-12-09,2012-12-09,"10765283,00","9026591,00","1738692,00"
19197,Daensing Kwin-2012-01-18,2012-01-18,"21387594,00","21387594,00",
19198,Sing Your Song-2012-01-13,2012-01-13,"87674,00","39956,00","47718,00"
19199,Newlyweds-2012-01-13,2012-01-13,,,"4584,00"
19200,Sophomore-2012-01-13,2012-01-13,,,"13500,00"
19201,8 novykh svidaniy-2015-01-01,2015-01-01,"5977612,00","5977612,00",
19202,You're Gonna Miss Me-2007-06-08,2007-06-08,,,"2324,00"
19203,SurfÃ¢â‚¬â„¢s Up-2007-06-08,2007-06-08,"145395745,00","86528051,00","58867694,00"
19204,Santa Mesa-2012-01-13,2012-01-13,,,"10490,00"
19205,La MÃƒÂ´me-2007-06-08,2007-06-08,"88611837,00","78312055,00","10299782,00"
19206,Steel Toes-2007-06-08,2007-06-08,,,
19207,Hostel: Part II-2007-06-08,2007-06-08,"33606409,00","16061597,00","17544812,00"
19208,Dinosaurs: Giants of Patagonia-2007-06-07,2007-06-07,"2130465,00","2130465,00",
19209,Belle Toujours-2007-06-08,2007-06-08,,,"10643,00"
19210,Ocean's Thirteen-2007-06-08,2007-06-08,"311744465,00","194600000,00","117144465,00"
19211,A fost sau n-a fost?-2007-06-06,2007-06-06,,,"89550,00"
19212,Hwang Jin-yi-2007-06-06,2007-06-06,"7923851,00","7923851,00",
19213,Rise: Blood Hunter-2007-06-01,2007-06-01,,,"114306,00"
19214,My Bollywood Bride-2007-06-08,2007-06-08,,,
19215,The Last Hangman-2007-06-01,2007-06-01,,,"21766,00"
19216,Yuki Ni Negau Koto-2007-06-01,2007-06-01,,,"4256,00"
19217,I'm Reed Fish-2007-06-01,2007-06-01,,,"3567,00"
19218,Mr. Brooks-2007-06-01,2007-06-01,"45989012,00","17512793,00","28476219,00"
19219,Four Lane Highway-2007-06-01,2007-06-01,,,"1393,00"
19220,Knocked Up-2007-06-01,2007-06-01,"219265952,00","70504187,00","148761765,00"
19221,Fool N Final-2007-06-01,2007-06-01,"2673450,00","2673450,00",
19222,Gracie-2007-06-01,2007-06-01,"3922043,00","965704,00","2956339,00"
19223,The Brothers Grimm-2005-01.01,2005-01.01,"105299638,00","67400000,00","37899638,00"
19224,The Cave-2005-01.01,2005-01.01,"27147991,00","12140000,00","15007991,00"
19225,The Untold story of Emmett Louis Till-2005-01.01,2005-01.01,,,"204956,00"
19226,Valiant-2005-01.01,2005-01.01,"64188387,00","44710281,00","19478106,00"
19227,Reel Paradise-2005-01.01,2005-01.01,,,"31235,00"
19228,The Baxter-2005-01.01,2005-01.01,,,"181872,00"
19229,Red Eye-2005-01.01,2005-01.01,"96666486,00","38774683,00","57891803,00"
19230,Now & Forever-2005-01.01,2005-01.01,,,
19231,A State of Mind-2005-01.01,2005-01.01,,,"41468,00"
19232,The 40 Year-old Virgin-2005-01.01,2005-01.01,"176276839,00","66827602,00","109449237,00"
19233,El Crimen Perfecto-2005-01.01,2005-01.01,,,"418843,00"
19234,Supercross-2005-01.01,2005-01.01,"3252550,00","150000,00","3102550,00"
19235,The Skeleton Key-2005-01.01,2005-01.01,"92256918,00","44349203,00","47907715,00"
19236,Grizzly Man-2005-01.01,2005-01.01,"4504451,00","1326048,00","3178403,00"
19237,The Rising-2005-01.01,2005-01.01,"8127331,00","7187968,00","939363,00"
19238,Pretty Persuasion-2005-01.01,2005-01.01,,,"305688,00"
19239,The Great Raid-2005-01.01,2005-01.01,"10597070,00","430568,00","10166502,00"
19240,Das Goebbels-Experiment-2005-01.01,2005-01.01,,,"47211,00"
19241,Asylum-2005-01.01,2005-01.01,"547807,00","172404,00","375403,00"
19242,11:14-2005-01.01,2005-01.01,,,
19243,Four Brothers-2005-01.01,2005-01.01,"92494381,00","18000000,00","74494381,00"
19244,Secuestro Express-2005-01.01,2005-01.01,"1629473,00","1327217,00","302256,00"
19245,Chaos-2005-01.01,2005-01.01,,,"10289,00"
19246,Deuce Bigalow: European Gigolo-2005-01.01,2005-01.01,"45273464,00","22873310,00","22400154,00"
19247,Novocaine-2001-11-16,2001-11-16,"2522928,00","497690,00","2025238,00"
19248,Lola-2001-11-16,2001-11-16,,,"103951,00"
19249,Saint Ralph-2005-01.01,2005-01.01,"1695126,00","900000,00","795126,00"
19250,The Fluffer-2001-11-16,2001-11-16,,,"563373,00"
19251,La Pianiste-2001-03-29,2001-03-29,"32078310,00","30178028,00","1900282,00"
19252,The Wash-2001-11-14,2001-11-14,,,"10097096,00"
19253,Harry Potter and the SorcererÃ¢â‚¬â„¢s Stone-2001-11-16,2001-11-16,"965054122,00","647182655,00","317871467,00"
19254,King of the Jungle-2001-11-09,2001-11-09,,,"27161,00"
19255,Shallow Hal-2001-11-09,2001-11-09,,,"70836296,00"
19256,Maze-2001-11-09,2001-11-09,,,"26918,00"
19257,Heist-2001-11-09,2001-11-09,"28906817,00","5423460,00","23483357,00"
19258,Keeping it Real: The Adventures of Greg Walloch-2001-11-09,2001-11-09,,,"1358,00"
19259,Code Unknown-2001-11-09,2001-11-09,,,"95242,00"
19260,I Remember Me-2001-11-09,2001-11-09,,,"4039,00"
19261,The One-2001-11-02,2001-11-02,"72689126,00","28783380,00","43905746,00"
19262,Punks-2001-11-02,2001-11-02,,,"159675,00"
19263,"Monsters, Inc.-2001-11-02",2001-11-02,"560483719,00","270334294,00","290149425,00"
19264,Tape-2001-11-02,2001-11-02,,,"490475,00"
19265,Liar's Club-2001-11-02,2001-11-02,,,"23792,00"
19266,Otomo-2001-11-07,2001-11-07,,,"14924,00"
19267,Everything Put Together-2001-11-02,2001-11-02,"7890,00","7890,00",
19268,Happenstance-2001-11-02,2001-11-02,,,"251444,00"
19269,Yu-Gi-Oh-2004-01.01,2004-01.01,"28715003,00","8952313,00","19762690,00"
19270,We Don't Live Here Anymore-2004-01.01,2004-01.01,"2313805,00","276260,00","2037545,00"
19271,Domestic Disturbance-2001-11-02,2001-11-02,"54207112,00","9000000,00","45207112,00"
19272,Uncovered: The Whole Truth About the Iraq War-2004-01.01,2004-01.01,,,"190424,00"
19273,Tom Dowd and the Language of Music-2004-01.01,2004-01.01,,,"40238,00"
19274,Cowards Bend the Knee-2004-01.01,2004-01.01,,,"22940,00"
19275,L.A. Twister-2004-01.01,2004-01.01,,,"54444,00"
19276,Danny Deckchair-2004-01.01,2004-01.01,,,"159279,00"
19277,The Princess Diaries 2: Royal Engagement-2004-01.01,2004-01.01,"134713435,00","39564000,00","95149435,00"
19278,Mind Game-2004-02-16,2004-02-16,,,"36613,00"
19279,The Other World-2004-01.01,2004-01.01,,,"2494,00"
19280,AVP: Alien Vs. Predator-2004-01.01,2004-01.01,"172543519,00","92262423,00","80281096,00"
19281,Stander-2004-01.01,2004-01.01,"296584,00","277517,00","19067,00"
19282,Saints and Soldiers-2004-01.01,2004-01.01,,,"1310470,00"
19283,Open Water-2004-01.01,2004-01.01,"55518641,00","25017759,00","30500882,00"
19284,Last Life in the Universe-2004-01.01,2004-01.01,,,"31747,00"
19285,Little Black Book-2004-01.01,2004-01.01,"21758371,00","1336164,00","20422207,00"
19286,Outfoxed - Rupert Murdoch's War on Journalism-2004-01.01,2004-01.01,"449487,00","43587,00","405900,00"
19287,Bang Rajan-2004-01.01,2004-01.01,,,"22826,00"
19288,Collateral-2004-01.01,2004-01.01,"217602967,00","117432815,00","100170152,00"
19289,Code 46-2004-01.01,2004-01.01,"1788324,00","1591176,00","197148,00"
19290,The President Versus David Hicks-2004-01.01,2004-01.01,"7504,00","7504,00",
19291,"Good Bye, Lenin!-2003-02-27",2003-02-27,"79384539,00","75320680,00","4063859,00"
19292,Free Radicals-2004-01.01,2004-01.01,,,"4397,00"
19293,Gonggongui jeok-2003-07-25,2003-07-25,"10303,00","10303,00",
19294,The Village-2004-07-30,2004-07-30,"257641634,00","143444114,00","114197520,00"
19295,Darna Mana Hai-2003-07-25,2003-07-25,"49966,00","49966,00",
19296,Bad Eggs-2003-07-24,2003-07-24,"428383,00","428383,00",
19297,Aleijadinho-2003-07-24,2003-07-24,,,"857,00"
19298,Balseros-2003-07-25,2003-07-25,,,
19299,Camp-2003-07-25,2003-07-25,"2672087,00","1042225,00","1629862,00"
19300,This Thing of Ours-2003-07-18,2003-07-18,,,"37227,00"
19301,Jaal: The Trap-2003-07-18,2003-07-18,"39708,00","39708,00",
19302,The Sea is Watching-2003-07-18,2003-07-18,,,
19303,Masked and Anonymous-2003-07-24,2003-07-24,"555335,00","21991,00","533344,00"
19304,How to Deal-2003-07-18,2003-07-18,"14125516,00","16998,00","14108518,00"
19305,The Gatekeeper-2003-07-18,2003-07-18,,,"309941,00"
19306,Double Whammy-2003-07-18,2003-07-18,"52912,00","52912,00",
19307,Garage Days-2003-07-18,2003-07-18,,,"20600,00"
19308,The Embalmer-2003-07-18,2003-07-18,"526029,00","469704,00","56325,00"
19309,Bad Boys II-2003-07-18,2003-07-18,"273271982,00","134731112,00","138540870,00"
19310,Dirty Pretty Things-2003-07-18,2003-07-18,"14156753,00","6044339,00","8112414,00"
19311,Buffalo Soldiers-2003-07-25,2003-07-25,"1768976,00","1415233,00","353743,00"
19312,Saaya-2003-07-11,2003-07-11,"7215,00","7215,00",
19313,The Anarchist Cookbook-2003-07-18,2003-07-18,,,"14369,00"
19314,Sky Blue-2003-12-31,2003-12-31,"81664,00","8011,00","73653,00"
19315,Veronica Guerin-2003-10-17,2003-10-17,"9438074,00","7868156,00","1569918,00"
19316,A Time for Drunken Horses-2000-10-27,2000-10-27,,,"701468,00"
19317,The Sculptress-2000-10-27,2000-10-27,,,"9972,00"
19318,Once in the Life-2000-10-27,2000-10-27,,,"53454,00"
19319,Mohabbatein-2000-10-27,2000-10-27,,,"1070000,00"
19320,Stardom-2000-10-27,2000-10-27,,,"77527,00"
19321,A Room for Romeo Brass-2000-10-27,2000-10-27,,,"20097,00"
19322,Un pont entre deux rives-2000-10-27,2000-10-27,,,"148093,00"
19323,Lucky Numbers-2000-10-27,2000-10-27,,,"10014234,00"
19324,Loving Jezebel-2000-10-27,2000-10-27,,,"69470,00"
19325,George Washington-2000-10-27,2000-10-27,"342722,00","100906,00","241816,00"
19326,Book of Shadows: Blair Witch 2-2000-10-27,2000-10-27,"47721314,00","21300000,00","26421314,00"
19327,Une Femme d'extÃƒÂ©rieur-2000-10-27,2000-10-27,,,"9238,00"
19328,Sound and Fury-2000-10-24,2000-10-24,,,"113512,00"
19329,Gloomy Sunday Ein Lied von Liebe und Tod-2000-06-20,2000-06-20,"657350,00","176143,00","481207,00"
19330,Pay it Forward-2000-10-20,2000-10-20,"55696705,00","22187783,00","33508922,00"
19331,Just One Time-2000-10-20,2000-10-20,,,"23374,00"
19332,The Wolves of Kromer-2000-10-20,2000-10-20,,,"11057,00"
19333,The Legend of Drunken Master-2000-10-20,2000-10-20,,,"11546543,00"
19334,Dolphins-2000-10-20,2000-10-20,"69600000,00","15600000,00","54000000,00"
19335,The Yards-2000-10-20,2000-10-20,"2282710,00","1400000,00","882710,00"
19336,Paranoid Park-2008-03-07,2008-03-07,,,"486021,00"
19337,Snow Angels-2008-03-07,2008-03-07,"414404,00","11546,00","402858,00"
19338,Last Stop for Paul-2008-03-08,2008-03-08,,,"11340,00"
19339,La Ligne BrisÃƒÂ©e-2008-03-07,2008-03-07,,,"466309,00"
19340,Miss Pettigrew Lives for a Day-2008-03-07,2008-03-07,"15172953,00","2859259,00","12313694,00"
19341,Girls Rock!-2008-03-07,2008-03-07,"162894,00","3600,00","159294,00"
19342,Married Life-2008-03-07,2008-03-07,"2975188,00","1468190,00","1506998,00"
19343,College Road Trip-2008-03-07,2008-03-07,"50873923,00","5263498,00","45610425,00"
19344,Fighting for Life-2008-03-07,2008-03-07,,,"30606,00"
19345,Body of War-2008-03-07,2008-03-07,,,"71716,00"
19346,Ã©â€¢Â·Ã¦Â±Å¸Ã¤Â¸Æ’Ã¨â„¢Å¸-2008-03-07,2008-03-07,"47300771,00","47094093,00","206678,00"
19347,Black & White-2008-03-07,2008-03-07,"6789166,00","6789166,00",
19348,Bar Starz-2008-03-07,2008-03-07,,,
19349,Blindsight-2008-03-05,2008-03-05,,,"89169,00"
19350,The Bank Job-2008-03-07,2008-03-07,"66143005,00","36082345,00","30060660,00"
19351,Runnin' Down a Dream: Tom Petty and the Heartbreakers-2008-03-03,2008-03-03,,,
19352,Vivere-2008-01.01,2008-01.01,,,"3547,00"
19353,El ÃƒÂºltimo justo-2008-01.01,2008-01.01,,,
19354,"10,000 B.C.-2008-03-07",2008-03-07,"269065678,00","174281477,00","94784201,00"
19355,The Unforeseen-2008-01.01,2008-01.01,,,"90287,00"
19356,"Romulus, My Father-2008-01.01",2008-01.01,,,"4283,00"
19357,Semi-Pro-2008-01.01,2008-01.01,"43980363,00","10500665,00","33479698,00"
19358,Three Monkeys-2009-03-27,2009-03-27,,,"41343,00"
19359,Fast & Furious-2009-04-03,2009-04-03,"359347833,00","204283568,00","155064265,00"
19360,AibÃƒÂ´ shirÃƒÂ®zu Kanshiki Yonezawa Mamoru no jikenbo-2009-03-28,2009-03-28,"4089965,00","4089965,00",
19361,Spinning into Butter-2009-03-27,2009-03-27,,,"8064,00"
19362,Penelope-2008-01.01,2008-01.01,"21375166,00","11363170,00","10011996,00"
19363,Tulpan-2009-04-01,2009-04-01,,,"158741,00"
19364,The Merry Gentleman-2009-03-27,2009-03-27,,,"347977,00"
19365,Guest of Cindy Sherman-2009-03-27,2009-03-27,,,"27052,00"
19366,Monsters vs. Aliens-2009-03-27,2009-03-27,"381687380,00","183335854,00","198351526,00"
19367,Grande ourse - La cle des possibles-2009-03-27,2009-03-27,,,"268143,00"
19368,The Haunting in Connecticut-2009-03-27,2009-03-27,"78758522,00","23369006,00","55389516,00"
19369,The Cross: The Arthur Blessitt Story-2009-03-27,2009-03-27,,,"741557,00"
19370,Goodbye Solo-2009-03-27,2009-03-27,"1165529,00","294084,00","871445,00"
19371,Venkovsky ucitel-2009-03-27,2009-03-27,,,"50072,00"
19372,American Swing-2009-03-27,2009-03-27,,,"30156,00"
19373,America Betrayed-2009-03-27,2009-03-27,,,"2450,00"
19374,12 Rounds-2009-03-27,2009-03-27,"17306648,00","5071954,00","12234694,00"
19375,Super Capers-2009-03-20,2009-03-20,,,"30955,00"
19376,Skills Like This-2009-03-20,2009-03-20,,,"62408,00"
19377,Un baiser s'il vous plaÃƒÂ®t-2009-03-27,2009-03-27,"2735499,00","2200000,00","535499,00"
19378,Perestroika-2009-03-20,2009-03-20,,,"26064,00"
19379,The New Twenty-2009-03-20,2009-03-20,,,"17625,00"
19380,Sin Nombre-2009-03-20,2009-03-20,"7036422,00","4499757,00","2536665,00"
19381,Manchoo-2011-02-17,2011-02-17,"5324500,00","5324500,00",
19382,Rise-2011-02-17,2011-02-17,,,
19383,Zero Bridge-2011-02-16,2011-02-16,,,"10357,00"
19384,Mancora-2009-03-20,2009-03-20,,,"29697,00"
19385,Wai dor lei ah yut ho-2011-02-11,2011-02-11,,,
19386,Leonardo Live-2011-02-16,2011-02-16,,,
19387,Vidal Sassoon: The Movie-2011-02-11,2011-02-11,,,"85974,00"
19388,Patiala House-2011-02-11,2011-02-11,"5740505,00","5096495,00","644010,00"
19389,Orgasm Inc.-2011-02-11,2011-02-11,,,"49001,00"
19390,MOOZ-lum-2011-02-11,2011-02-11,"372239,00","10000,00","362239,00"
19391,Raymond Did It-2011-02-11,2011-02-11,,,"3632,00"
19392,Shi-2011-02-11,2011-02-11,,,"356149,00"
19393,Justin Bieber: Never Say Never-2011-02-09,2011-02-09,"99034125,00","26020215,00","73013910,00"
19394,Certifiably Jonathan-2011-02-11,2011-02-11,,,"7826,00"
19395,The Sky Turns-2011-02-11,2011-02-11,,,
19396,Just Go With It-2011-02-11,2011-02-11,"214974953,00","111946844,00","103028109,00"
19397,Gnomeo and Juliet-2011-02-11,2011-02-11,"193737977,00","93770307,00","99967670,00"
19398,In Her Skin-2011-02-11,2011-02-11,,,
19399,The Eagle-2011-02-11,2011-02-11,"38993548,00","19503507,00","19490041,00"
19400,Carancho-2011-02-11,2011-02-11,"4959360,00","4873834,00","85526,00"
19401,Blood Ties-2011-02-11,2011-02-11,,,"2761,00"
19402,2011 Oscar Shorts-2011-02-11,2011-02-11,,,"1352152,00"
19403,Cedar Rapids-2011-02-11,2011-02-11,"7862131,00","1001029,00","6861102,00"
19404,Oscar et la dame Rose-2010-02-26,2010-02-26,,,"41803,00"
19405,La derniÃƒÂ¨re fugue-2010-02-26,2010-02-26,,,"40249,00"
19406,Karthik Calling Karthik-2010-02-26,2010-02-26,"2901846,00","2615437,00","286409,00"
19407,Formosa Betrayed-2010-02-26,2010-02-26,,,"225341,00"
19408,45365-2010-02-26,2010-02-26,,,"1909,00"
19409,Cop Out-2010-02-26,2010-02-26,"55909910,00","11034429,00","44875481,00"
19410,The Art of the Steal-2010-02-26,2010-02-26,,,"544890,00"
19411,PlumÃƒÂ­feros - Aventuras voladoras-2010-02-19,2010-02-19,"51466,00","51466,00",
19412,Shutter Island-2010-02-19,2010-02-19,"299461782,00","171448848,00","128012934,00"
19413,Le Petit Nicolas-2010-02-19,2010-02-19,"52339566,00","52137709,00","201857,00"
19414,Phyllis and Harold-2010-02-19,2010-02-19,,,"5992,00"
19415,The Last New Yorker-2010-02-19,2010-02-19,,,"6607,00"
19416,The Crazies-2010-02-26,2010-02-26,"56445534,00","17321945,00","39123589,00"
19417,The Good Guy-2010-02-19,2010-02-19,"106460,00","5772,00","100688,00"
19418,Defendor-2010-02-19,2010-02-19,,,"44462,00"
19419,Dreamkiller-2010-02-19,2010-02-19,,,"15318,00"
19420,Happy Tears-2010-02-19,2010-02-19,,,"22464,00"
19421,Blood Done Sign My Name-2010-02-19,2010-02-19,,,"109383,00"
19422,2010 Oscar Shorts-2010-02-19,2010-02-19,,,"1018169,00"
19423,The Ghost Writer-2010-02-19,2010-02-19,"65532491,00","49990942,00","15541549,00"
19424,Lourdes-2010-02-17,2010-02-17,,,"9408,00"
19425,The Wolfman-2010-02-12,2010-02-12,"142634358,00","80444474,00","62189884,00"
19426,The Rocket-2014-01-10,2014-01-10,"591749,00","534926,00","56823,00"
19427,Raze-2014-01-10,2014-01-10,,,"3453,00"
19428,Return to Nuke 'Em High Volume 1-2014-01-10,2014-01-10,,,"4790,00"
19429,The Adventurer: The Curse of the Midas Box-2014-01-10,2014-01-10,,,
19430,If You Build It-2014-01-10,2014-01-10,,,"43393,00"
19431,Her-2014-12-18,2014-12-18,"48043998,00","22475747,00","25568251,00"
19432,Loves Her Gun-2014-01-10,2014-01-10,,,
19433,Grzeli nateli dgeebi-2014-01-10,2014-01-10,"79316,00","23224,00","56092,00"
19434,Divorce Corp-2014-01-10,2014-01-10,,,
19435,The Legend of Hercules-2014-01-10,2014-01-10,"58953319,00","40104781,00","18848538,00"
19436,Demain Tout Commence-2014-01-10,2014-01-10,"49070099,00","49070099,00",
19437,Dumbbells-2014-01-10,2014-01-10,,,
19438,Black Coffee-2014-01-10,2014-01-10,,,
19439,Cold Comes the Night-2014-01-10,2014-01-10,"32303,00","15332,00","16971,00"
19440,Tarzan-2014-01-09,2014-01-09,"20200000,00","20200000,00",
19441,Banshee Chapter-2014-01-10,2014-01-10,"78122,00","78122,00",
19442,Paranormal Activity: The Marked Ones-2014-01-03,2014-01-03,"90904854,00","58442482,00","32462372,00"
19443,La migiliore offerta-2014-01-03,2014-01-03,"418005,00","329286,00","88719,00"
19444,Le metis de Dieu-2014-01-03,2014-01-03,,,"133672,00"
19445,In No Great Hurry: 13 Lessons in Life with Saul Leiter-2014-01-03,2014-01-03,"23685,00","11552,00","12133,00"
19446,Interior. Leather Bar.-2014-01-02,2014-01-02,,,"40862,00"
19447,Miracle In Cell No. 7-2013-01-23,2013-01-23,"76168428,00","76168428,00",
19448,Open Grave-2014-01-03,2014-01-03,"669169,00","669169,00",
19449,Officer Down-2013-01-18,2013-01-18,,,"1463,00"
19450,7-beon-bang-ui seon-mul-2013-01-23,2013-01-23,"84164423,00","84164423,00",
19451,The Met: Live in HD - Maria Stuarda-2013-01-19,2013-01-19,,,
19452,Hors Satan-2013-01-18,2013-01-18,,,
19453,Cornouaille-2013-01-18,2013-01-18,,,"2847,00"
19454,LUV-2013-01-18,2013-01-18,,,"156996,00"
19455,Tesis Sobre un Homicidio-2013-01-17,2013-01-17,"2165848,00","2165848,00",
19456,V tumane-2013-06-14,2013-06-14,"44361,00","44361,00",
19457,Broken City-2013-01-18,2013-01-18,"37114977,00","17413813,00","19701164,00"
19458,"Night with Nicholas Sparks SAFE HAVEN: Filmmakers, Author and Stars Bring the Book to Life-2013-01-17",2013-01-17,,,
19459,Paulette-2013-01.01,2013-01.01,"9043254,00","9014168,00","29086,00"
19460,Greenwich Village: Music That Defined a Generation-2013-01-18,2013-01-18,,,"23701,00"
19461,The Last Stand-2013-01-18,2013-01-18,"48330757,00","36280458,00","12050299,00"
19462,Mama-2013-01-18,2013-01-18,"148095566,00","76467386,00","71628180,00"
19463,Struck By Lightning-2013-01-06,2013-01-06,,,"28378,00"
19464,Alceste a bicyclette-2013-05-03,2013-05-03,"10569015,00","10183850,00","385165,00"
19465,Saadi Love Story-2013-01-11,2013-01-11,,,
19466,Kuai Le Dao Jia-2013-01-15,2013-01-15,"23210000,00","23210000,00",
19467,Mein bester Feind-2013-01-11,2013-01-11,,,
19468,Paradies: Glaube-2013-01.01,2013-01.01,"540877,00","536461,00","4416,00"
19469,Take Care of My Cat-2002-10-18,2002-10-18,"65133,00","55962,00","9171,00"
19470,Matru ki Bijlee ka Mandola-2013-01-11,2013-01-11,"6009116,00","6009116,00",
19471,Real Women Have Curves-2002-10-18,2002-10-18,"7777790,00","1924596,00","5853194,00"
19472,The Ring-2002-10-18,2002-10-18,"248218486,00","119124462,00","129094024,00"
19473,Naqoyqatsi-2002-10-18,2002-10-18,,,"132026,00"
19474,The Grey Zone-2002-10-18,2002-10-18,,,"507443,00"
19475,Formula 51-2002-10-18,2002-10-18,,,"5204007,00"
19476,Hansel & Gretel-2002-10-18,2002-10-18,,,"100477,00"
19477,Fidel-2002-10-18,2002-10-18,,,"120738,00"
19478,Auto Focus-2002-10-18,2002-10-18,"2703821,00","641755,00","2062066,00"
19479,Abandon-2002-10-18,2002-10-18,"12219367,00","1500000,00","10719367,00"
19480,Adrenaline Rush: The Science of Risk-2002-10-18,2002-10-18,"23970431,00","7036640,00","16933791,00"
19481,White Oleander-2002-10-11,2002-10-11,"21657770,00","5300000,00","16357770,00"
19482,Children on Their Birthdays-2002-10-18,2002-10-18,,,"54912,00"
19483,Tuck Everlasting-2002-10-11,2002-10-11,"19344615,00","182616,00","19161999,00"
19484,Safe Conduct-2002-10-11,2002-10-11,,,"26617,00"
19485,Swept Away-2002-10-11,2002-10-11,"611032,00","12387,00","598645,00"
19486,The Transporter-2002-10-11,2002-10-11,"43928932,00","18632485,00","25296447,00"
19487,Punch-Drunk Love-2002-10-11,2002-10-11,"24591031,00","6800000,00","17791031,00"
19488,Pulse: A Stomp Odyssey-2002-10-11,2002-10-11,"15384390,00","5297876,00","10086514,00"
19489,The Rules of Attraction-2002-10-11,2002-10-11,"11799060,00","5273298,00","6525762,00"
19490,Pokemon 4Ever-2002-10-11,2002-10-11,"28032301,00","26300000,00","1732301,00"
19491,Handcart-2002-10-11,2002-10-11,,,"98666,00"
19492,Knockaround Guys-2002-10-11,2002-10-11,"12419700,00","759520,00","11660180,00"
19493,GekijÃƒÂ´-ban poketto monsutÃƒÂ¢: Adobansu jenerÃƒÂªshon pokemon renjÃƒÂ¢ to umi no ÃƒÂ´ji manafi-2006-07-15,2006-07-15,"787301,00","787301,00",
19494,Been Rich All My Life-2006-07-21,2006-07-21,,,"36406,00"
19495,Le temps qui reste-2006-07-14,2006-07-14,,,"117686,00"
19496,Mad Cowgirl-2006-07-19,2006-07-19,,,
19497,"You, Me and Dupree-2006-07-14",2006-07-14,"130402010,00","54600000,00","75802010,00"
19498,Mini's First Time-2006-07-14,2006-07-14,,,"49034,00"
