year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2018;January 5th;Dark Meridian;;n/a;
2018;January 5th;Burn Out;1144435,00;n/a;1144435,00
2018;January 5th;Arif v 216;16495648,00;n/a;16495648,00
2018;January 5th;Blame;;n/a;
2018;January 5th;Ao Oni: The Animation;3200,00;n/a;3200,00
2018;January 3rd;Taste of Cement;;n/a;
2018;January 5th;27: El club de los malditos;131003,00;n/a;131003,00
2018;January 5th;All She Wrote;214662,00;n/a;214662,00
2018;January 5th;Insidious: The Last Key;105066641,00;67745330,00;172811971,00
2018;January 3rd;Anatomy of a Male Ballet Dancer;;n/a;
2007;August 24th;Eye of the Dolphin;50,00;72210,00;72260,00
2018;January 5th;Come On Teacher;5101,00;n/a;5101,00
2007;August 24th;Deep Water;465619,00;271143,00;736762,00
2007;August 24th;Dedication;;91164,00;
2007;August 22nd;Swindler in My Mom's House;2260734,00;n/a;2260734,00
2007;August 24th;10 Questions for the Dalai Lama;260000,00;224546,00;484546,00
2007;August 22nd;Hannah Takes the Stairs;;22509,00;
2007;August 19th;Saving Sarah Cain;;n/a;
2007;August 24th;Den brysomme mannen;;n/a;
2007;August 17th;Superbad;48491916,00;121463226,00;169955142,00
2007;August 17th;Xiang ri kui;;23307,00;
2007;August 24th;Closing Escrow;;8719,00;
2007;August 17th;Splinter;;10497,00;
2007;August 17th;Marigold;886341,00;n/a;886341,00
2007;August 17th;La Strada di Levi;;22026,00;
2007;August 17th;The Last Legion;19425711,00;5932060,00;25357771,00
2007;August 17th;The Invasion;25072851,00;15074191,00;40147042,00
2007;August 17th;Manda Bala;;122905,00;
2007;August 17th;The King of Kong;116060,00;674925,00;790985,00
2007;August 17th;Death at a Funeral;38708720,00;8580428,00;47289148,00
2007;August 17th;7 dÃƒÂ­as;;16791,00;
2007;August 17th;Buddha Mar Gaya;;13871,00;
2007;August 17th;American Fusion;;16000,00;
2007;August 15th;O CÃƒÂ©u de Suely;;12007,00;
2007;August 15th;Delirious;;86460,00;
2017;January 6th;Khaidi No. 150;43852,00;n/a;43852,00
2007;August 17th;11th Hour;345428,00;703464,00;1048892,00
2017;January 6th;G.E.M.: G-Force;476613,00;n/a;476613,00
2017;January 6th;German Concentration Camps Factual Survey;;4468,00;
2017;January 6th;Fireman Sam: Alien Alert;589922,00;n/a;589922,00
2017;January 6th;GG Bond: Guarding;6821075,00;n/a;6821075,00
2017;January 6th;Hickey;;n/a;
2017;July 14th;Les fausses confidences;26923,00;29245,00;56168,00
2017;January 6th;Delirio em Las Vedras;4855,00;n/a;4855,00
2017;January 6th;Cruzeiro Seixas - As cartas do rei Artur;1169,00;n/a;1169,00
2017;January 6th;Contratiempo;30694802,00;n/a;30694802,00
2017;January 6th;The Catch;58786,00;n/a;58786,00
2017;January 6th;A Different American Dream;;1172,00;
2017;January 6th;Bad, Bad Men;;n/a;
2017;January 6th;Between Us;;n/a;
2017;January 6th;Accidental Courtesy: Daryl Davis, Race & America;;1940,00;
2017;January 6th;Arsenal;;n/a;
2017;January 6th;Die Dunkle Seite des Mondes;20651,00;n/a;20651,00
2017;January 5th;Il Ragazzo Invisibile - Seconda Generazione;1600921,00;n/a;1600921,00
2017;January 5th;The Bronx Bull;;n/a;
2017;January 6th;10,000 Miles;508820,00;n/a;508820,00
2017;January 5th;Arise from Darkness;;6112,00;
2017;January 4th;Faut Pas Lui Dire;1009457,00;n/a;1009457,00
2017;February 3rd;The Space Between Us;8596111,00;7885294,00;16481405,00
2005;November 4th;At Last;;15026,00;
2005;November 4th;Chicken Little;174657158,00;135386665,00;310043823,00
2005;November 4th;Christmas in the Clouds;;279225,00;
2017;January 1st;Mister FelicitÃƒ;10739001,00;n/a;10739001,00
2005;December 25th;Wolf Creek;12818716,00;16186348,00;29005064,00
2005;October 28th;The Weather Man;2984186,00;12482775,00;15466961,00
2005;November 3rd;Shaadi No. 1;;336772,00;
2005;October 28th;Three... Extremes;99000,00;77532,00;176532,00
2005;October 28th;Saw II;65900000,00;87025093,00;152925093,00
2005;October 28th;New York Doll;17464,00;219672,00;237136,00
2005;October 28th;Prime;44700000,00;22827153,00;67527153,00
2005;October 28th;Paradise Now;1904673,00;1452402,00;3357075,00
2005;October 28th;The Legend of Zorro;95900000,00;45575336,00;141475336,00
2005;October 21st;The Work and the Glory: American Zion;;2025032,00;
2005;October 28th;Ballets Russes;372620,00;815848,00;1188468,00
2005;October 21st;Three of Hearts;;21429,00;
2005;October 21st;Shopgirl;1473895,00;10284523,00;11758418,00
2005;October 21st;The Roost;;5642,00;
2005;October 21st;The Optimists;;2377,00;
2005;October 21st;El VacilÃƒÂ³n: The Movie;;1693256,00;
2005;October 21st;Protocols of Zion;;178875,00;
2004;October 29th;If Only;6028936,00;n/a;6028936,00
2005;October 21st;Stay;491000,00;3626883,00;4117883,00
2004;October 29th;Enduring Love;240903,00;358262,00;599165,00
2004;October 29th;800 balas;;866,00;
2004;October 29th;Artworks;;2186,00;
2004;October 28th;Eros Roma Live;;n/a;
2004;October 29th;Birth;9597102,00;5005899,00;14603001,00
2004;October 22nd;Undertow;;124171,00;
2004;October 22nd;Surviving Christmas;3130468,00;11198345,00;14328813,00
2004;October 22nd;Stella Street;;2574,00;
2004;October 22nd;Wake of Death;67444,00;n/a;67444,00
2004;March 18th;Steamboy;10000000,00;468867,00;10468867,00
2004;October 22nd;Sideways;38224497,00;71502303,00;109726800,00
2004;October 22nd;Short Cut to Nirvana: Kumbh Mela;58426,00;381225,00;439651,00
2004;October 22nd;The Manson Family;;11657,00;
2004;October 22nd;Lightning in a Bottle;11517,00;201574,00;213091,00
2004;November 5th;The Incredibles;370000000,00;261441092,00;631441092,00
2004;October 22nd;The Machinist;7573353,00;1082044,00;8655397,00
2004;October 22nd;Chokher Bali;15577,00;n/a;15577,00
2004;October 22nd;The Grudge;76921753,00;110359362,00;187281115,00
2004;July;In My Father's Den;660092,00;n/a;660092,00
2004;October 22nd;A Fish Without a Bicycle;;26642,00;
2003;October 17th;The Texas Chainsaw Massacre;27395664,00;80571655,00;107967319,00
2004;October 22nd;Evil Remains;;8396,00;
2004;October 15th;Untold Scandal;;63332,00;
2003;October 17th;Runaway Jury;17897223,00;49440996,00;67338219,00
2003;October 17th;Pieces of April;1042589,00;2528664,00;3571253,00
2003;October 17th;Returner;;69886,00;
2003;October 17th;Nine Dead Gay Guys;;25688,00;
2003;October 17th;Khachaturian;;14250,00;
2003;October 17th;Sylvia;1601895,00;1302242,00;2904137,00
2003;October 10th;Small Voices;;66235,00;
2003;October 10th;Porn Theater;;31481,00;
2003;October 17th;High Times' Potluck;;4827,00;
2003;October 10th;House of the Dead;3660724,00;10199354,00;13860078,00
2003;October 10th;Good Boy!;7644471,00;37667746,00;45312217,00
2003;October 10th;The Flower of Evil;;181798,00;
2003;October 10th;Dopamine;;64950,00;
2003;October 9th;Perfect Strangers;69685,00;n/a;69685,00
2003;December 19th;Calendar Girls;62063000,00;31011616,00;93074616,00
2003;October 10th;Intolerable Cruelty;86000000,00;35327628,00;121327628,00
2008;May 9th;Surfwise;;269994,00;
2008;May 9th;Poultrygeist: Night of the Chicken Dead;8819,00;13804,00;22623,00
2008;May 9th;OSS 117: Le Caire, nid d'espions;23423032,00;303328,00;23726360,00
2008;May 9th;Noise;;16513,00;
2008;May 9th;Edgar Allan Poe's House of Usher;;1677,00;
2008;May 9th;Speed Racer;49448696,00;43945766,00;93394462,00
2008;May 9th;The Fall;300000,00;2280348,00;2580348,00
2008;May 9th;Bloodline;;62248,00;
2008;May 9th;Bhoothnath;11083019,00;449776,00;11532795,00
2008;May 9th;The Babysitters;;44852,00;
2008;May 9th;FrontiÃƒÂ¨re;;9913,00;
2008;May 9th;Before the Rains;20000,00;1037128,00;1057128,00
2008;May 9th;America the Beautiful;;76173,00;
2008;May 2nd;XXY;;46011,00;
2008;May 7th;Battle for Haditha;;8443,00;
2008;May 2nd;Viva;;7197,00;
2008;May 2nd;Il Trittico at Fenice;;79842,00;
2008;May 2nd;Son of Rambow: A Home Movie;9477758,00;1785505,00;11263263,00
2008;May 2nd;Redbelt;322237,00;2344847,00;2667084,00
2008;May 2nd;Wangjiao Kamen;;8440,00;
2008;May 2nd;Mister Lonely;;165831,00;
2008;May 2nd;Maman est chez le coiffeur;;552984,00;
2008;May 2nd;Kiss Me Deadly;;30316,00;
2008;May 2nd;Made of Honor;60536004,00;46012734,00;106548738,00
2008;May 2nd;SÃƒÂ¥ som i himmelen;36022358,00;10236,00;36032594,00
2009;June 26th;Afghan Star;10807,00;102115,00;112922,00
2008;May 2nd;Iron Man;266567421,00;318604126,00;585171547,00
2009;June 24th;Transformers: Revenge of the Fallen;434407829,00;402111870,00;836519699,00
2009;June 19th;Year One;14267444,00;43337279,00;57604723,00
2009;June 19th;The Proposal;150751686,00;163958031,00;314709717,00
2009;June 19th;Whatever Works;29800000,00;5306706,00;35106706,00
2009;June 19th;Irene in Time;;110175,00;
2009;June 19th;DÃƒÂ¸d snÃƒÂ¸;2147278,00;46742,00;2194020,00
2009;August 28th;Still Walking;223742,00;167047,00;390789,00
2003;October 10th;Kill Bill: Volume 1;106371290,00;70098138,00;176469428,00
2009;June 17th;The Windmill Movie;;30050,00;
2009;December 12th;$9,99 ;;52107,00;
2009;June 17th;Under Our Skin;;98548,00;
2009;June 12th;War Eagle, Arkansas;;123670,00;
2009;June 12th;The Taking of Pelham 123;86912058,00;65452312,00;152364370,00
2009;June 12th;Street Dreams;;122575,00;
2009;June 12th;Unbeatable Harold;;n/a;
2009;June 12th;The Last International Playboy;;25646,00;
2009;June 12th;Moon;5665910,00;5010163,00;10676073,00
2009;June 12th;Youssou N'Dour: I Bring What I Love;;172225,00;
2009;June 12th;Sex Positive;;12069,00;
2009;June 12th;Food, Inc.;314270,00;4417674,00;4731944,00
2009;June 12th;Kal Kissne Dekha;;24625,00;
2009;June 12th;Imagine That;6215752,00;16222392,00;22438144,00
2009;June 12th;Call of the Wild 3D;;28682,00;
2011;April 15th;The Imperialists Are Still Alive!;;5874,00;
2011;April 15th;Fly Away;;n/a;
2009;June 11th;Tetro;;518522,00;
2011;April 15th;Frisson des Collines;;434589,00;
2009;June 12th;Death of a Ghost Hunter;;4490,00;
2011;April 15th;Daydream Nation;500,00;n/a;500,00
2011;April 15th;La doppia ora;1200809,00;1514942,00;2715751,00
2011;April 15th;Dumbstruck;;15378,00;
2011;April 15th;Atlas Shrugged: Part 1;;4752353,00;
2011;April 15th;The Conspirator;4369207,00;11538204,00;15907411,00
2011;April 15th;Armadillo;2676313,00;14566,00;2690879,00
2011;April 14th;Hidden Colors;;n/a;
2011;April 14th;Insaengeun Areumdawo;4894718,00;n/a;4894718,00
2011;April 14th;Generation P;2214954,00;n/a;2214954,00
2011;April 13th;Un homme qui crie;;9862,00;
2011;April 11th;TheyÃ¢â‚¬â„¢re Out of Business;;1655,00;
2011;April 9th;Evil Bong 3 The Wrath Of Bong!;;91260,00;
2011;April 8th;Your Highness;4525193,00;21596445,00;26121638,00
2011;April 8th;X;;n/a;
2011;April 8th;Thank You;14196505,00;463540,00;14660045,00
2011;April 8th;San MartÃƒÂ­n: El cruce de Los Andes;316613,00;n/a;316613,00
2011;April 15th;Rio;343900000,00;143619809,00;487519809,00
2011;April 8th;Morrer Como Un Homem;;4029,00;
2011;April 8th;No Eres Tu, Soy Yo;;1339911,00;
2011;April 8th;Meet Monica Velour;;33042,00;
2011;April 8th;Meek's Cutoff;892156,00;977772,00;1869928,00
2011;April 8th;Henry's Crime;;102541,00;
2010;May 21st;John Rabe;;67519,00;
2010;May 21st;Holy Rollers;;303064,00;
2010;May 21st;After the Cup: Sons of Sakhnin United;;12085,00;
2011;April 8th;Soul Surfer;3282065,00;43853424,00;47135489,00
2010;January 28th;Die Fremde;47396,00;19631,00;67027,00
2010;May 21st;180 South;;31745,00;
2010;May 14th;Tamo i ovde;;24460,00;
2010;May 14th;Robin Hood;216971858,00;105487148,00;322459006,00
2010;May 19th;Deux de la vague;;28808,00;
2010;May 14th;Princess Kaiulani;;883887,00;
2010;May 14th;The Trotsky;;440008,00;
2010;May 14th;The Living Wake;;12232,00;
2010;May 14th;Letters to Juliet;29116085,00;53032453,00;82148538,00
2010;May 14th;Just Wright;327302,00;21540363,00;21867665,00
2010;May 14th;Looking for Eric;10504168,00;55804,00;10559972,00
2010;May 14th;Deadfall Trail;44329,00;35855,00;80184,00
2010;May 7th;Welcome;4303513,00;13461,00;4316974,00
2010;May 12th;Beetle Queen Conquers Tokyo;;15930,00;
2010;May 7th;The Oath;;42273,00;
2010;May 7th;Multiple Sarcasms;;29731,00;
2010;May 7th;Mother and Child;5426670,00;1110509,00;6537179,00
2010;May 7th;Happiness Runs;;7199,00;
2010;May 7th;Trash Humpers;3172,00;21826,00;24998,00
2010;May 7th;Casino Jack and the United States of Money;;176865,00;
2014;March 7th;Ya Rab;;n/a;
2010;May 7th;Carbon Nation;;1470,00;
2014;March 7th;Total Siyapaa;;n/a;
2014;March 7th;Queen;165638,00;n/a;165638,00
2010;May 7th;Iron Man 2;308723058,00;312433331,00;621156389,00
2014;March 7th;A Farewell to Fools;;n/a;
2014;March 7th;Haunt;2648068,00;n/a;2648068,00
2010;May 7th;Babies;4826496,00;7320323,00;12146819,00
2014;March 7th;Missing William;;n/a;
2014;March 7th;Eles Voltam;8443,00;n/a;8443,00
2014;March 7th;War of the World's Goliath;;13385,00;
2014;March 7th;Bibi & Tina;8354458,00;n/a;8354458,00
2014;March 7th;Bethlehem;;127115,00;
2014;March 7th;Avant l'hiver;415244,00;53970,00;469214,00
2014;March 7th;Awful Nice;;n/a;
2014;March 5th;Particle Fever;;869838,00;
2014;March 7th;The Grand Budapest Hotel;104427495,00;59076019,00;163503514,00
2014;February 28th;Shaadi Ke Side Effects;;n/a;
2014;March 7th;300: Rise of an Empire;224200000,00;106580051,00;330780051,00
2014;February 28th;Repentance;5349,00;1189612,00;1194961,00
2014;February 28th;Son of God;11249729,00;59700064,00;70949793,00
2014;February 28th;Odd Thomas;1321097,00;n/a;1321097,00
2014;February 28th;Non-Stop;130640895,00;91742160,00;222383055,00
2014;February 28th;Hairbrained;;n/a;
2014;February 28th;Chlorine;;n/a;
2014;February 28th;Jaatishwar;;n/a;
2013;March 15th;Paradies: Hoffnung;159446,00;n/a;159446,00
2014;March 1st;Ya ne vernus;;n/a;
2013;March 15th;Mindless Behavior: All Around The World;;344500,00;
2013;March 15th;My Amityville Horror;;n/a;
2013;March 15th;Language of a Broken Heart;;19186,00;
2014;February 28th;The Lunchbox;11286386,00;4231500,00;15517886,00
2013;March 15th;If I Were You;;9432,00;
2013;March 15th;Kokuriko-zaka Kara;48742934,00;1000878,00;49743812,00
2013;March 15th;K-11;;n/a;
2013;March 15th;Leonie;;53692,00;
2013;March 22nd;The Croods;385900000,00;187168425,00;573068425,00
2013;March 15th;Jolly LLB;5801422,00;n/a;5801422,00
2013;March 14th;Hunt to Kill;160867,00;n/a;160867,00
2013;March 15th;The Incredible Burt Wonderstone;4854728,00;22537881,00;27392609,00
2013;March 14th;The Kitchen;;4054,00;
2013;March 14th;Cottage Country;22363,00;n/a;22363,00
2013;March 15th;The Call;17949098,00;51872378,00;69821476,00
2013;April 12th;The AngelsÃ¢â‚¬â„¢ Share;4523246,00;312339,00;4835585,00
2013;March 13th;J'ai tuÃƒÂ© me mÃƒÂ¨re;;n/a;
2013;March 13th;The Happy Poet;;3400,00;
2013;March 13th;Philip Roth: Unmasked;;n/a;
2013;March 8th;Superstar;;3111,00;
2013;March 8th;Greedy Lying Bastards;;45000,00;
2013;March 8th;Oz the Great and Powerful;255588055,00;234770996,00;490359051,00
2013;March 8th;The Other Side of the Ice;;n/a;
2013;March 8th;The Girl;;35048,00;
2013;March 8th;Somebody Up There Likes Me;;89435,00;
2006;September 29th;LoudQuietLoud: A Film About The Pixies;;7506,00;
2006;September 29th;A Guide to Recognizing Your Saints;1611255,00;516139,00;2127394,00
2006;September 29th;The Guardian;39961808,00;55011732,00;94973540,00
2006;September 29th;Facing the Giants;64828,00;10178331,00;10243159,00
2006;September 29th;Broken Sky;;29185,00;
2013;March 8th;Emperor;11559205,00;3346264,00;14905469,00
2006;September 29th;The Journals of Knud Rasmussen;;209478,00;
2006;September 28th;Tazza: The High Rollers;30536600,00;n/a;30536600,00
2006;September 29th;Be With Me;;1365,00;
2006;September 27th;The Last King of Scotland;31548687,00;17606684,00;49155371,00
2006;September 22nd;Solo Con Tu Pareja;;9915,00;
2006;September 22nd;La science des rÃƒÂªves;10467288,00;4670644,00;15137932,00
2006;September 22nd;Renaissance;2330769,00;70644,00;2401413,00
2006;September 22nd;Khosla Ka Ghosla;;26472,00;
2006;September 22nd;Jackass: Number Two;12500000,00;72778712,00;85278712,00
2006;September 22nd;Kaptein Sabeltann;;105152,00;
2006;September 22nd;Flyboys;1725749,00;13090630,00;14816379,00
2006;September 22nd;Huo Yuan Jia;42000000,00;24633730,00;66633730,00
2006;September 22nd;Bandidas;19282590,00;n/a;19282590,00
2006;September 22nd;Feast;634741,00;56131,00;690872,00
2006;September 22nd;All the King's Men;2300000,00;7221458,00;9521458,00
2006;September 22nd;The Blossoming of Maximo Oliveros;;28041,00;
2006;September 22nd;Alien Autopsy;;2867,00;
2006;September 20th;President;1171515,00;n/a;1171515,00
2006;September 20th;Ambrose Bierce: Civil War Stories;;22918,00;
2006;September 22nd;American Hardcore;8322,00;279665,00;287987,00
2012;March 9th;Apart;;n/a;
2012;April 27th;Hodejegerne;18988730,00;1200010,00;20188740,00
2006;September 18th;Colin Fitz Lives!;;n/a;
2012;March 8th;The Ballad of Genesis and Lady Jaye;;n/a;
2012;March 23rd;The Hunger Games;269912687,00;408010692,00;677923379,00
2012;December 21st;Barbara;5901752,00;n/a;5901752,00
2012;March 3rd;Eiga Doraemon Nobita to Kiseki no Shima Ã£â‚¬Å“Animaru AdobenchÃ„ï¿½;;n/a;
2012;March 9th;John Carter;209719421,00;73058679,00;282778100,00
2012;March 3rd;Raia Gemu Saisei;22713078,00;n/a;22713078,00
2012;March 2nd;Tim and Eric's Billion Dollar Movie;22216,00;201436,00;223652,00
2012;March 2nd;Svartur a leik;686545,00;n/a;686545,00
2012;March 2nd;Project X;48296323,00;54731865,00;103028188,00
2012;March 2nd;Rang zidan fei;;63012,00;
2012;March 2nd;Paan Singh Tomar;2274940,00;40311,00;2315251,00
2012;March 2nd;London, Paris, New York;;n/a;
2012;March 2nd;Snowtown;292724,00;8452,00;301176,00
2012;March 2nd;Lost Woods;;180117,00;
2012;March 2nd;Last Days Here;;7643,00;
2012;March 2nd;In Film Nist;4483,00;37706,00;42189,00
2012;March 2nd;Gianni e le donne;16459,00;317405,00;333864,00
2012;March 2nd;Breaking Wind;1961193,00;n/a;1961193,00
2012;March 2nd;Better Than Something: Jay Reatard;;20327,00;
2012;March 2nd;Falling Away;;13157,00;
2015;January 23rd;Cake;303623,00;1951776,00;2255399,00
2012;February 6th;Cesare deve morire;1428574,00;n/a;1428574,00
2015;January 23rd;Black Sea;2160512,00;1171559,00;3332071,00
2012;March 2nd;Being Flynn;4519704,00;540152,00;5059856,00
2015;September 23rd;La belle et la bÃƒÂªte;2679929,00;n/a;2679929,00
2015;January 23rd;Baby;82411,00;n/a;82411,00
2015;January 23rd;Ask Sana Benzer;5902324,00;n/a;5902324,00
2015;January 23rd;Big Muddy;;881,00;
2015;January 23rd;Atlit;120512,00;n/a;120512,00
2015;January 23rd;L'armee du salut;;3929,00;
2015;May 22nd;Aloft;478053,00;53086,00;531139,00
2015;February 27th;Ã¢â‚¬â„¢71;3106411,00;1270847,00;4377258,00
2015;January 23rd;Against the Sun;54,00;n/a;54,00
2015;January 23rd;3 TÃƒÂ¼rken & ein Baby;1611854,00;n/a;1611854,00
2015;January 23rd;The Boy Next Door;17395873,00;36006065,00;53401938,00
2015;January 23rd;Mortdecai;22700000,00;7696134,00;30396134,00
2015;January 23rd;Americons;;28782,00;
2015;April 10th;Ex Machina;12917421,00;25440971,00;38358392,00
2015;January 19th;Patterns of Evidence: Exodus;;n/a;
2015;January 20th;All the Wilderness;;n/a;
2015;July 24th;American Heist;2341218,00;n/a;2341218,00
2015;January 16th;Vice;935485,00;n/a;935485,00
2015;January 16th;The Wedding Ringer;15711385,00;64460211,00;80171596,00
2015;January 16th;Three Night Stand;;4076,00;
2015;January 30th;Wild Card;4312589,00;3200,00;4315789,00
2015;June 5th;Testament of Youth;4824419,00;1822250,00;6646669,00
2016;January 7th;Vai que DÃƒÂ¡ Certo 2;2353642,00;n/a;2353642,00
2016;January 8th;Wazir;5331841,00;586028,00;5917869,00
2016;January 7th;Huang Cun Yuan Ling;514112,00;n/a;514112,00
2016;January 7th;She jian shang de xin nian;220000,00;n/a;220000,00
2016;January 15th;Remember You;2813933,00;11800,00;2825733,00
2016;January 8th;The Forest;14154969,00;26594261,00;40749230,00
2016;February 5th;Eisenstein In Guanajuato;43281,00;34282,00;77563,00
2016;January 7th;Diablo;;n/a;
2016;January 7th;Crayon Shin-chan: My Moving Story;1222820,00;n/a;1222820,00
2016;January 8th;The Abandoned;;n/a;
2016;September 22nd;Friend Request;7551757,00;3759078,00;11310835,00
2016;January 6th;Ejdeha Vared Mishavad!;24378,00;n/a;24378,00
2016;January 6th;DÃƒÂ¼Ã„Å¸ÃƒÂ¼n Dernek 3;7598,00;n/a;7598,00
2016;January 4th;Sadako vs. Kayako;9075247,00;n/a;9075247,00
2016;January 6th;Banking on Bitcoin;;n/a;
2016;June 3rd;Quackerz;4946941,00;n/a;4946941,00
2016;January 6th;Ãƒâ€¡algi Ãƒâ€¡engi Ikimiz;9201138,00;n/a;9201138,00
2016;January 2nd;Fausto TambiÃƒÂ©n;;n/a;
2016;January 1st;Yosemite;;13931,00;
2016;March 11th;10 Cloverfield Lane;36203423,00;72082999,00;108286422,00
2016;January 1st;Yi Qie Dou Hao;3680000,00;n/a;3680000,00
2007;August 10th;A Stone's Throw;;n/a;
2016;January 1st;Xiao men shen;11902156,00;n/a;11902156,00
2007;August 10th;Stardust;98387307,00;38634938,00;137022245,00
2007;August 10th;Skinwalkers;;1018965,00;
2007;August 10th;Rush Hour 3;116459914,00;140125968,00;256585882,00
2018;January 1st;Chudo Yudo;1041422,00;n/a;1041422,00
2007;August 10th;Rocket Science;;712391,00;
2007;August 10th;Deux jours ÃƒÂ  Paris;10087671,00;4433994,00;14521665,00
2007;August 10th;Cut Sleeve Boys;;13875,00;
2007;August 10th;Descent;;15233,00;
2007;August 10th;The List;;98438,00;
2007;August 10th;Chak De India;13845785,00;1113541,00;14959326,00
2007;August 10th;Crossing the Line;;9258,00;
2007;August 9th;Khuu raet;733816,00;n/a;733816,00
2007;August 8th;Dans Paris;;63049,00;
2007;August 4th;Kaidan;560490,00;n/a;560490,00
2007;August 8th;Daddy Day Camp;4974605,00;13235267,00;18209872,00
2007;August 4th;GekijÃƒÂ´-ban Kamen RaidÃƒÂ¢ Den-Ãƒâ€: Ore, tanjÃƒÂ´!;8353721,00;n/a;8353721,00
2007;August 3rd;If I Didn't Care;;8527,00;
2007;August 3rd;The Ten;16951,00;769726,00;786677,00
2007;August 3rd;Hot Rod;433232,00;13938332,00;14371564,00
2007;August 3rd;Ils;2700000,00;26062,00;2726062,00
2007;August 3rd;Underdog;21272723,00;43760605,00;65033328,00
2007;August 3rd;Gandhi, My Father;1774579,00;240425,00;2015004,00
2007;August 3rd;Cash;5512027,00;n/a;5512027,00
2017;January 1st;Masha i Medved: novyye druz'ya;2225835,00;n/a;2225835,00
2005;October 21st;Kids in America;;537667,00;
2005;October 21st;North Country;5352529,00;18324242,00;23676771,00
2005;October 21st;Emmanuel's Gift;;23578,00;
2005;October 21st;Kiss Kiss, Bang Bang;12593627,00;4235837,00;16829464,00
2005;October 21st;National Lampoon's Barely Legal;;26511,00;
2007;August 3rd;La faute ÃƒÂ  Fidel;;168065,00;
2005;October 21st;Congo: White King, Red Rubber, Black Death;;3238,00;
2005;October 21st;Doom;30544841,00;28212337,00;58757178,00
2005;October 21st;The Californians;;4134,00;
2005;October 21st;Dreamer: Inspired by a True Story;6476074,00;33022286,00;39498360,00
2005;October 21st;After Innocence;;114264,00;
2005;October 14th;Where the Truth Lies;543514,00;872142,00;1415656,00
2005;October 21st;Brooklyn Lobster;;138267,00;
2005;October 19th;Ushpizin;;1397999,00;
2005;October 14th;The President's Last Bang;;9724,00;
2005;October 14th;Loggerheads;;115314,00;
2005;October 14th;Nine Lives;1100000,00;478830,00;1578830,00
2005;October 14th;The Fog;7537414,00;29511112,00;37048526,00
2005;October 14th;Elizabethtown;23868947,00;26850426,00;50719373,00
2005;October 14th;Domino;13404855,00;10169202,00;23574057,00
2005;October 14th;Innocent Voices;6144281,00;837878,00;6982159,00
2005;October 13th;The Dark Hours;;423,00;
2005;October 7th;Waiting...;2548731,00;16124543,00;18673274,00
2005;October 7th;Sacred Stage;;4410,00;
2005;October 7th;Main Meri Patni..Aur Woh!;;n/a;
2005;October 7th;The Overture;;2254,00;
2004;October 15th;Spin;;9858,00;
2004;October 15th;Shall We Dance?;60210000,00;57887882,00;118097882,00
2004;October 15th;P.S.;;175408,00;
2004;October 15th;MoolaadÃƒÂ©;146780,00;214605,00;361385,00
2004;October 15th;Hair Show;;302990,00;
2004;October 15th;Face;;108151,00;
2004;October 15th;Team America: World Police;18173977,00;32774834,00;50948811,00
2004;October 15th;The Final Cut;3070786,00;548039,00;3618825,00
2004;October 15th;Riding the Bullet;;101107,00;
2004;October 15th;The Dust Factory;;8000,00;
2004;October 15th;Being Julia;6712273,00;7739049,00;14451322,00
2004;October 14th;The Football Factory;19766,00;n/a;19766,00
2004;October 11th;Natural Disasters: Forces of Nature;999457,00;n/a;999457,00
2004;August 5th;2046;17836260,00;1442338,00;19278598,00
2004;October 8th;Vodka Lemon;;63672,00;
2004;October 8th;Stage Beauty;253790,00;776691,00;1030481,00
2004;October 15th;Eulogy;20674,00;70527,00;91201,00
2004;October 8th;Silent Waters;;7384,00;
2004;October 8th;Around the Bend;;193571,00;
2004;October 8th;Raise Your Voice;4400000,00;10411980,00;14811980,00
2004;October 8th;Friday Night Lights;694849,00;61255921,00;61950770,00
2004;October 8th;Primer;417166,00;424760,00;841926,00
2004;October 6th;Taxi;31500000,00;36609966,00;68109966,00
2003;October 8th;Ã”nibus 174;6858,00;216158,00;223016,00
2004;October 8th;Andromedia;;n/a;
2003;October 8th;Mystic River;66686829,00;90135191,00;156822020,00
2003;October 3rd;The Work and the Story;;16137,00;
2004;October 10th;Vera Drake;9600049,00;3753806,00;13353855,00
2003;October 3rd;Wonderland;67956,00;1060512,00;1128468,00
2003;October 3rd;Sur Le Seuil;;2013052,00;
2003;October 3rd;School of Rock;50683495,00;81261177,00;131944672,00
2003;October 3rd;Between Calm and Passion;325828,00;n/a;325828,00
2003;October 3rd;Girls Will Be Girls;;147235,00;
2003;October 3rd;The Station Agent;3668651,00;5801558,00;9470209,00
2003;October 3rd;Out of Time;14406718,00;41083108,00;55489826,00
2003;October 3rd;Foolproof;190709,00;230312,00;421021,00
2003;October 3rd;Baghban;;967555,00;
2003;October 3rd;The Event;;54288,00;
2003;September 26th;Under the Tuscan Sun;13888516,00;43601508,00;57490024,00
2003;October 3rd;Concert for George;12598,00;70000,00;82598,00
2003;September 26th;The Rundown;33190150,00;47641743,00;80831893,00
2003;September 26th;My Life Without Me;11834915,00;432360,00;12267275,00
2003;September 26th;Prey for Rock & Roll;4049,00;58040,00;62089,00
2003;September 26th;The Gospel of John;166268,00;4068087,00;4234355,00
2003;September 26th;Camera Obscura;;11384,00;
2003;September 26th;Luther;26935977,00;5781086,00;32717063,00
2003;September 24th;National Lampoon's Dorm Daze;;47153,00;
