year;release_date;title;international_box_office;domestic_box_office;worldwide_box_office
2018;December 21st;Tian Qi Yu Bao;18382575,00;103053,00;18485628,00
2018;December 21st;The Soul of Shui People in 1944;599574,00;n/a;599574,00
2018;December 21st;Snezhnaya koroleva. Zazerkale;9456027,00;n/a;9456027,00
2018;December 21st;Unknown Distance;;n/a;
2018;December 21st;Silukkuvarpatti Singam;405,00;n/a;405,00
2018;December 21st;The Revenge of Phantom Knight;23369,00;n/a;23369,00
2018;December 21st;Padi Padi Leche Manasu;20916,00;n/a;20916,00
2018;December 21st;SÃƒÂ¼kut Evi;262,00;n/a;262,00
2018;December 21st;Porno para principiantes;9848,00;n/a;9848,00
2018;December 21st;Patrolman Baoyin;100000,00;n/a;100000,00
2018;December 21st;The Last Resort;;158646,00;
2018;December 21st;National Theatre Live: Antony & Cleopatra;891885,00;n/a;891885,00
2018;December 21st;Maari 2;68392,00;n/a;68392,00
2018;December 21st;Kanaa;2999,00;n/a;2999,00
2018;December 21st;Hugo Paco Luis y tres chicas de rosa;100,00;n/a;100,00
2018;December 21st;Kurtlar ve Ãƒâ€¡akallar;11593,00;n/a;11593,00
2018;December 21st;Fabeltjeskrant: De Grote Dierenbos-Spelen.;728944,00;n/a;728944,00
2018;December 21st;The Connection;3739582,00;n/a;3739582,00
2018;December 21st;Delaware Shore;;n/a;
2018;December 21st;Dantza;262301,00;n/a;262301,00
2018;December 21st;D.P.A. Detetives Do PrÃƒÂ©dio Azul 2 - O Filme;4432618,00;n/a;4432618,00
2018;December 21st;Between Worlds;;n/a;
2018;December 21st;Antariksham 9000 kmph;39040,00;n/a;39040,00
2018;December 21st;Blue Amber;25049,00;n/a;25049,00
2018;December 21st;AÃƒÂ¯lo: Une odyssÃƒÂ©e en Laponie;1991200,00;n/a;1991200,00
2018;December 21st;Adanga Maru;30612,00;n/a;30612,00
2018;December 20th;Tri bogatyrya i Naslednitsa prestola;9343851,00;n/a;9343851,00
2018;December 21st;Bolshoi Ballet: The Nutcracker;354373,00;n/a;354373,00
2018;December 25th;Holmes & Watson;11357862,00;30568743,00;41926605,00
2017;December 29th;Zanjas;570,00;n/a;570,00
2018;December 20th;ItÃ¢â‚¬â„¢s March 3Rd Again;1160000,00;n/a;1160000,00
2017;February 14th;The Wedding Party 2: Destination Dubai;61975,00;11140,00;73115,00
2017;December 29th;Sin Filtro;174,00;n/a;174,00
2017;January 5th;Yao Ling Ling;57442237,00;186135,00;57628372,00
2018;December 20th;Politseyskiy s Rublyovki. Novogodniy bespredel;27061365,00;n/a;27061365,00
2017;December 29th;ParayÃ„Â± Bulduk;16590,00;n/a;16590,00
2017;December 29th;Napoli Velata;7197082,00;n/a;7197082,00
2017;December 29th;KlasÃ„â€”s susitikimas: berniukai sugrÃ„Â¯Ã…Â¾ta!;1636978,00;n/a;1636978,00
2017;December 29th;Kalavaadiya Pozhuthugal;5317,00;n/a;5317,00
2017;December 29th;Momo;5181844,00;n/a;5181844,00
2017;December 29th;Gulu Mermaid 2;1653264,00;n/a;1653264,00
2017;December 29th;Gandarrappido!: The Revenger Squad;21271,00;n/a;21271,00
2017;December 29th;Fala SÃƒÂ©rio, MÃƒÂ£e!;11616161,00;n/a;11616161,00
2017;December 29th;L'ÃƒÂ©change des princesses;3078723,00;n/a;3078723,00
2017;December 29th;Okka Kshanam;1516,00;n/a;1516,00
2017;December 29th;Forget About Nick;41963,00;n/a;41963,00
2017;December 29th;Come Un Gatto in Tangenziale;11282642,00;n/a;11282642,00
2018;December 21st;Seuwingkizeu;10681258,00;222001,00;10903259,00
2018;December 20th;Capri-Revolution;828363,00;n/a;828363,00
2018;December 19th;Maya;130997,00;n/a;130997,00
2018;December 19th;Mayakwang;14446477,00;n/a;14446477,00
2018;December 19th;Nachtwacht: De Poort der Zielen;198335,00;n/a;198335,00
2018;December 19th;L'Empereur de Paris;8628811,00;n/a;8628811,00
2018;December 19th;Le gendre de ma vie;3623355,00;n/a;3623355,00
2018;December 19th;Amici come Prima;9367230,00;n/a;9367230,00
2018;December 18th;Zhong Guo He Huo Ren 2;3004460,00;n/a;3004460,00
2018;December 19th;Mary Poppins Returns;176942594,00;171958438,00;348901032,00
2018;December 16th;A Christmas Carol;;n/a;
2018;December 14th;The Wedding;2513,00;n/a;2513,00
2018;December 14th;Yo-kai Watch Movie 5: Forever Friends;10441722,00;n/a;10441722,00
2018;December 14th;Volver a Boedo;16032,00;n/a;16032,00
2018;December 14th;Yuli;4326104,00;n/a;4326104,00
2018;December 14th;Turtle Odyssey 3d;141256,00;n/a;141256,00
2018;December 14th;Three Words to Forever;17076,00;n/a;17076,00
2018;December 14th;Trote;6538,00;n/a;6538,00
2018;December 14th;That Way Madness Lies;;1447,00;
2018;December 14th;La vida que te agenciaste;63,00;n/a;63,00
2018;December 14th;There Will Be Ample Time;9135,00;n/a;9135,00
2018;December 14th;Stolen Fairytales;5197,00;n/a;5197,00
2017;December 29th;Ãƒâ€¡at Kapi Ask;36969,00;n/a;36969,00
2018;December 14th;Skjelvet;4046173,00;6235,00;4052408,00
2017;February 9th;CaffÃƒÂ¨;157683,00;n/a;157683,00
2018;December 14th;Seethakaathi;10103,00;n/a;10103,00
2017;December 29th;Balloon;2186353,00;n/a;2186353,00
2017;December 29th;Barkley;1926435,00;n/a;1926435,00
2017;February 9th;Basmati Blues;15651,00;n/a;15651,00
2017;December 29th;ASYA;2,00;n/a;2,00
2017;December 29th;Anons;24879,00;n/a;24879,00
2017;December 29th;Aruvi;863,00;n/a;863,00
2017;December 28th;Dvizhenie Vverkh;61925449,00;n/a;61925449,00
2017;January 5th;Er Dai Yao Jing;46154324,00;n/a;46154324,00
2017;December 18th;1987: When the Day Comes;51775357,00;n/a;51775357,00
2017;December 29th;Qian Ren 3: Yan Zhi Da Zuo Zhan;306710033,00;837791,00;307547824,00
2017;December 23rd;Revenge Girl;1302754,00;n/a;1302754,00
2017;December 25th;Phantom Thread;26613994,00;21198205,00;47812199,00
2017;December 29th;Berliner Philharmoniker: New Year's Eve Concert;83045,00;n/a;83045,00
2017;December 22nd;Yao Mao Zhuan;97033612,00;n/a;97033612,00
2017;December 25th;All the Money in the World;31784324,00;25106325,00;56890649,00
2017;December 22nd;Tri Bogatyrya i Printsessa Egipta;14184772,00;n/a;14184772,00
2017;December 22nd;Tout lÃƒÂ -haut;2354121,00;n/a;2354121,00
2017;December 22nd;Tiger Zinda Hai;70959455,00;5560921,00;76520376,00
2017;December 22nd;Velaikkaran;9886215,00;n/a;9886215,00
2018;December 14th;The Second Time Around;;3837,00;
2018;December 14th;Paris Opera Ballet: Tribute To Jerome Robbins;5259,00;n/a;5259,00
2018;December 14th;Painted Skin: The Double Mask;468683,00;n/a;468683,00
2018;December 14th;Mochila de plomo;4955,00;n/a;4955,00
2017;December 22nd;Yolki novye;15738222,00;n/a;15738222,00
2018;December 14th;The Mule;69649587,00;103804407,00;173453994,00
2018;December 14th;Odiyan;79385,00;n/a;79385,00
2018;December 14th;Miamor perdido;1562666,00;n/a;1562666,00
